0,30,30,-1.9109558600702447e-11,0
1,29,30,1.4069040411364462e-10,-1
2,28,30,-2.262046328737376e-11,-2
2,29,29,1.2303474056354283e-09,0
3,27,30,1.4734777077399648e-09,-3
3,28,29,-3.1702111928441564e-09,-1
4,26,30,3.732946136445181e-10,-4
4,27,29,5.677506253816102e-11,-2
4,28,28,1.4400494669784868e-09,0
5,25,30,-1.1236978755781526e-09,-5
5,26,29,1.3713989201322844e-09,-3
5,27,28,1.0239391195090223e-09,-1
6,24,30,-5.741032089483608e-10,-6
6,25,29,-5.864848777175913e-10,-4
6,26,28,-1.6907632848615681e-09,-2
6,27,27,-1.244473535316039e-09,0
7,23,30,1.4665691027385952e-09,-7
7,24,29,-2.4081156221233045e-09,-5
7,25,28,2.6654501642793966e-09,-3
7,26,27,-2.0973943765881955e-09,-1
8,22,30,7.988595648806857e-10,-8
8,23,29,-2.509492833987809e-09,-6
8,24,28,-9.333425128035283e-10,-4
8,25,27,-3.3612181483794575e-10,-2
8,26,26,-3.0962921884474352e-09,0
9,21,30,1.2194062489599406e-09,-9
9,22,29,1.4417648226695877e-09,-7
9,23,28,-2.7950356291933964e-09,-5
9,24,27,8.543535118549364e-10,-3
9,25,26,-9.667944127877442e-10,-1
10,20,30,-1.6133560915040293e-09,-10
10,21,29,1.6609262546408604e-09,-8
10,22,28,7.322887821758888e-11,-6
10,23,27,-7.425045664099884e-10,-4
10,24,26,1.8678413183938197e-09,-2
10,25,25,2.126578093954652e-09,0
11,19,30,-5.068180281564892e-09,-11
11,20,29,2.929242037180311e-11,-9
11,21,28,-2.0155528028815476e-09,-7
11,22,27,5.751831812458941e-10,-5
11,23,26,-4.3815929571862973e-10,-3
11,24,25,3.7085353935342256e-10,-1
12,18,30,-3.5823670433385344e-09,-12
12,19,29,-3.055018518069943e-10,-10
12,20,28,6.310269743393025e-10,-8
12,21,27,-4.2593722701864073e-10,-6
12,22,26,3.5819043121995857e-10,-4
12,23,25,-3.3927665261418264e-10,-2
12,24,24,6.934777034217585e-10,0
13,17,30,1.1215305225309278e-09,-13
13,18,29,1.895031242737967e-09,-11
13,19,28,-8.434318981785727e-10,-9
13,20,27,-8.795252769287603e-10,-7
13,21,26,1.5719693112292217e-09,-5
13,22,25,-5.818581201790834e-10,-3
13,23,24,-1.4943431117384529e-09,-1
14,16,30,-3.5577507496426053e-09,-14
14,17,29,-1.981122186818708e-09,-12
14,18,28,-2.2501060761956286e-10,-10
14,19,27,-6.452098031932447e-10,-8
14,20,26,6.048555044425184e-10,-6
14,21,25,-2.277196888361689e-10,-4
14,22,24,6.370933458725707e-11,-2
14,23,23,-9.995640471378143e-10,0
15,15,30,3.067168854182414e-09,-15
15,16,29,-7.27697578571856e-09,-13
15,17,28,-2.5397697958060177e-10,-11
15,18,27,2.4747757693305565e-09,-9
15,19,26,-1.5648109196201724e-09,-7
15,20,25,-7.8298593569199e-11,-5
15,21,24,-2.4421205329969937e-10,-3
15,22,23,-2.853570498561935e-09,-1
16,16,28,-5.618582746078354e-09,-12
16,17,27,7.460836791326971e-10,-10
16,18,26,-1.453377716124643e-09,-8
16,19,25,2.2883126354429806e-09,-6
16,20,24,-9.95970093183551e-10,-4
16,21,23,-3.127706023887812e-09,-2
16,22,22,-3.2003602134496235e-10,0
17,17,26,-5.919073279376142e-10,-9
17,18,25,3.7744325876760355e-10,-7
17,19,24,8.855419845259085e-10,-5
17,20,23,-5.746749184724292e-10,-3
17,21,22,-1.4240618930427844e-09,-1
18,18,24,-2.680747091151208e-09,-6
18,19,23,1.6247833400269368e-09,-4
18,20,22,2.2632484526004217e-09,-2
18,21,21,1.7045295263457153e-09,0
19,19,22,-2.8629784037274523e-09,-3
19,20,21,1.040342949637176e-09,-1
20,20,20,3.4265196777201894e-09,0
